subject-visit,06,07,08,09,10,11,12,13,14,15,16,17,18
1,no-pi,**PI**,no-pi,no-pi,**PI**,no-pi,no-pi,**PI**,NO-FILE,no-pi,**PI**,no-pi,NO-FILE
2,**PI**,no-pi,**PI**,**PI**,no-pi,**PI**,**PI**,no-pi,**PI**,**PI**,no-pi,**PI**,NO-FILE
3,**PI**,**PI**,no-pi,no-pi,NO-FILE,no-pi,no-pi,no-pi,**PI**,**PI**,no-pi,**PI**,NO-FILE
4,**PI**,**PI**,**PI**,**PI**,**PI**,**PI**,**PI**,**PI**,no-pi,no-pi,**PI**,no-pi,NO-FILE
5,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
6,**PI**,**PI**,no-pi,**PI**,no-pi,no-pi,no-pi,**PI**,no-pi,no-pi,no-pi,**PI**,NO-FILE
7,**PI**,**PI**,**PI**,**PI**,NO-FILE,**PI**,**PI**,**PI**,**PI**,**PI**,**PI**,**PI**,NO-FILE
8,**PI**,**PI**,**PI**,**PI**,no-pi,**PI**,**PI**,**PI**,**PI**,**PI**,no-pi,no-pi,NO-FILE
9,no-pi,no-pi,no-pi,**PI**,no-pi,**PI**,no-pi,no-pi,no-pi,no-pi,**PI**,**PI**,NO-FILE
10,no-pi,**PI**,no-pi,**PI**,no-pi,no-pi,no-pi,no-pi,**PI**,no-pi,**PI**,**PI**,NO-FILE
11,**PI**,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,**PI**,no-pi,**PI**,NO-FILE
12,**PI**,**PI**,**PI**,no-pi,no-pi,**PI**,**PI**,no-pi,no-pi,no-pi,NO-FILE,NO-FILE,NO-FILE
13,no-pi,**PI**,no-pi,no-pi,**PI**,no-pi,**PI**,no-pi,no-pi,no-pi,NO-FILE,NO-FILE,NO-FILE
14,no-pi,**PI**,**PI**,NO-FILE,no-pi,**PI**,no-pi,**PI**,**PI**,**PI**,NO-FILE,NO-FILE,NO-FILE
15,no-pi,no-pi,**PI**,NO-FILE,**PI**,**PI**,**PI**,**PI**,no-pi,**PI**,NO-FILE,NO-FILE,NO-FILE
16,**PI**,no-pi,no-pi,no-pi,no-pi,**PI**,no-pi,**PI**,**PI**,**PI**,NO-FILE,NO-FILE,NO-FILE
17,**PI**,**PI**,**PI**,NO-FILE,NO-FILE,no-pi,**PI**,no-pi,no-pi,**PI**,NO-FILE,NO-FILE,NO-FILE
18,no-pi,**PI**,NO-FILE,**PI**,**PI**,no-pi,**PI**,no-pi,**PI**,**PI**,NO-FILE,NO-FILE,NO-FILE
19,**PI**,**PI**,no-pi,**PI**,no-pi,**PI**,no-pi,**PI**,no-pi,no-pi,NO-FILE,NO-FILE,NO-FILE
20,**PI**,**PI**,no-pi,NO-FILE,**PI**,no-pi,**PI**,no-pi,no-pi,**PI**,NO-FILE,NO-FILE,NO-FILE
21,**PI**,**PI**,no-pi,**PI**,**PI**,no-pi,no-pi,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
22,**PI**,no-pi,**PI**,NO-FILE,no-pi,no-pi,**PI**,no-pi,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
23,**PI**,**PI**,**PI**,no-pi,no-pi,**PI**,no-pi,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
24,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
25,**PI**,**PI**,**PI**,no-pi,no-pi,**PI**,no-pi,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
26,**PI**,**PI**,no-pi,NO-FILE,no-pi,no-pi,**PI**,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
27,no-pi,**PI**,**PI**,**PI**,no-pi,no-pi,**PI**,no-pi,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
28,no-pi,no-pi,no-pi,NO-FILE,no-pi,**PI**,no-pi,no-pi,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
29,no-pi,**PI**,no-pi,no-pi,**PI**,no-pi,no-pi,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
30,**PI**,**PI**,**PI**,no-pi,no-pi,no-pi,**PI**,no-pi,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
31,**PI**,**PI**,no-pi,no-pi,no-pi,**PI**,no-pi,no-pi,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
32,**PI**,**PI**,no-pi,no-pi,no-pi,**PI**,no-pi,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
33,**PI**,**PI**,**PI**,no-pi,**PI**,**PI**,**PI**,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
34,NO-FILE,**PI**,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
35,no-pi,no-pi,**PI**,no-pi,no-pi,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
36,**PI**,**PI**,**PI**,**PI**,no-pi,no-pi,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
37,no-pi,**PI**,no-pi,**PI**,**PI**,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
38,**PI**,**PI**,**PI**,no-pi,**PI**,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
39,**PI**,**PI**,**PI**,no-pi,no-pi,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
40,**PI**,**PI**,**PI**,**PI**,**PI**,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
41,**PI**,no-pi,no-pi,no-pi,**PI**,no-pi,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
42,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
43,**PI**,NO-FILE,**PI**,**PI**,no-pi,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
44,**PI**,no-pi,no-pi,no-pi,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
45,NO-FILE,**PI**,**PI**,no-pi,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
46,no-pi,**PI**,**PI**,no-pi,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
